Question,Answer
расписание сессии,/sch_session
расписание на сегодня,/sch_today
расписание на завтра,/sch_tomorrow
рассписание занятости преподователей,/sch_teacher
сколько лет университету ВятГУ,ВятГу был основан в 1963 году. Сегодня университету <current_year> - 1963 лет
где находиться корпус № Х,"<address, campus, X> "
"где находится мой деканат, контакты",/address_dean
где копировальный центр и можно расспечатать,"В ВятГУ есть несколько копировальных центров: <vyatsu, print_centr>"
библиотека вятгу,"Библиотека находится в учебный корпус №1.
ул. Московская, 36, ауд. 1-207а тел.: (8332) 742-759, внутр. тел. 2-36
Режим работы:
Понедельник - Пятница: с 9.00 до 17.00
Суббота: с 9.00 до 15.00
Выходной день: воскресенье.
Последняя пятница месяца - санитарный день."
профком сотрудников и преподователей,"Профком сотрудников находится по адресу:
Киров, ул. Московская, 36 (корпус №1). Кабинет №100.

Тел. 8 (8332) 64-09-25, вн. 1-73 
E-mail: profcom_sotr@vyatsu.ru
Режим работы: пн-чт: 9.00 – 17.00; пт: 9.00 – 16.00. Обед: с 12.00 до 13.00

Подробнее https://www.vyatsu.ru/sotrudniku/struktura-vyatgu/profsoyuz-rabotnikov-vyatgu.html"
профком студентов,"Профком студентов находится по адресу:
1 корпус ВятГУ: улица Московская, 36, каб. 403 тел. +7 (8332) 64-02-86
Подробнее https://vk.com/profcomvgu."
как заселиться в общежитие общага,"По вопросам общежитий обращайтесь:
    Корзоватых Юлия Анатольевна
    тел/факс.: (8332) 53-09-46, 67-87-48, e-mail: upr_ko@vyatsu.ru

Подробнее https://www.vyatsu.ru/studentu-1/obschezhitiya-3/obschezhitiya-vyatgu.html"
медпункты ВятГу,"Медицинское обслуживание студентов очной формы обучения проводится в здравпунктах университета, расположенных по адресам:
 - Здравпункт № 1 – ул. Московская, 36 (учебный корпус № 1) (студенты институтов биологии и биотехнологии, химии и экологии, Политехнического, математики и информационных систем, кроме студентов указанных институтов, проживающих в общежитиях №2, 3, 4, 5);
 - Здравпункт № 2 – ул. Свободы, 122 (учебный корпус № 14) (студенты институтов экономики и менеджмента, юридического, а также студенты факультетов ФКС Педагогического института, ФИПНК и ФФМ ИГСН);
 - Здравпункт № 3 – ул. Ленина, 198 (учебный корпус № 15) (студенты факультетов ФЛ института гуманитарных и социальных наук, ФПП Педагогического института, а также студенты Колледжа);
 - Поликлиника № 2 – ул. Производственная, 6, каб. 21 (студенты институтов биологии и биотехнологии, химии и экологии, Политехнического, математики и информационных систем, проживающие в общежитиях №2, 3, 4, 5).

Также студенты, не проживающие в общежитиях ВятГУ, могут обслуживаться в медучреждениях г. Кирова по месту жительства. 
Подробнее https://www.vyatsu.ru/studentu-1/meditsinskoe-obsluzhivanie-studentov.html."
какие специальности есть в вятгу,"На сайте университета есть удобный фильтр для поиска специальностей и направлений.
https://new.vyatsu.ru/admission/admission_special/
Советую посетить"
"какие индивидуальные достижения учитываются при поступлении, золотая медаль","Вот документ, где описаны все персональные достижения, учитываемые при поступлении на 2021 год. https://new.vyatsu.ru/admission/prep_admission/files/_%E2%84%96%2044-%D0%A2%D0%94%20%D0%BE%D1%82%2011.02.2021%20%D0%9E%D0%B1%20%D1%83%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%BD%D1%8F%20%D0%BE%D0%BB%D0%B8%D0%BC%D0%BF%D0%B8%D0%B0%D0%B4%20%D0%BA%D0%BE%D0%BD%D0%BA%D1%83%D1%80%D1%81%D0%BE%D0%B2%20%D0%BD%D0%B0%202020-2021%20%D1%83%D1%87.%D0%B3%D0%BE%D0%B4.pdf"
я не сдал завалил сессию что делать,"Для начала не нужно паниковать, по вопросам пересдачи и получения ИГПА обратитесь в деканат"
как получить Индивидуальный график погашения академической задолженности ИГПА ,Обратитесь в деканат
как перевестись в другую группу,Необходимо подать заявление в свой деканат
как перевестись в вятгу,"Для этого вам надо обратиться в приемную комиссию и заполнить заявление. г. Киров, ул. Московская, д.36, ауд.1-129, тел.: 8(8332)74-29-29, 64-89-89)."
расписание звонков,1 пара: 8.20 - 09.50  2 пара: 10.00 - 11.30  3 пара: 11.45 - 13.15  4 пара: 14.00 - 15.30  5 пара: 15.45 - 17.15  6 пара: 17.20 - 18.50  7 пара: 18.55 – 20.25
как взять академический отпуск (академ),По вопросам академического отпуска обратитесь в свой деканат. Заявление можно подать в личном кабинете на сайте ВятГУ https://new.vyatsu.ru/account/documents/files/edit_files.php?ELEMENT_ID=18827
как заставить себя учиться,"Это прозвучит банально,но самый простой способ начать учится – это взять и начать учиться. Если вы ПРОБОВАЛИ так и все равно не получается, попробуйте подойти к кому нибудь из преподователей (только обязательно хорошо сформулируйте свою проблему), возможно они смогут вам помочь."
"я потерял пароль к личному кабинету, как восстановить",Вот инструкция как восстановить учетную запись https://www.vyatsu.ru/uploads/file/1909/instrukciya_po_polucheniyu_ili_vosstanovleniyu_uchetnoy_zapisi_dlya_dostupa_v_eios.pdf
"как получить справку о том что я студент, в пенсионный фонд, о доходах, в ПФР","Для этого необходимо подать заявление в отделе координации работы со студентами (5-105, 14-101, 15-206а, 8-209) или в личном кабинете в разделе Документы (https://new.vyatsu.ru/account/documents/)"
личный кабинет,https://new.vyatsu.ru/account/
как восстановиться,"Восстановиться в ВятГУ можно, если Вы были отчислены не позже, чем 5 лет назад. По поводу восстановления обратитесь в деканат."
как получить повышенную стипендию ПГАС и какие документы нужны для повышенки,Информацию о стипендиальном обеспечении можно узнать в положении о стипендиальном обеспечении. Актуальное положение можно взять тут (https://www.vyatsu.ru/studentu-1/stipendial-noe-obespechenie-i-material-naya-podder.html).
дай деняк,Информацию о стипендиальном обеспечении можно узнать в положении о стипендиальном обеспечении. Актуальное положение можно взять тут (https://www.vyatsu.ru/studentu-1/stipendial-noe-obespechenie-i-material-naya-podder.html).
че с деньгами,Информацию о стипендиальном обеспечении можно узнать в положении о стипендиальном обеспечении. Актуальное положение можно взять тут (https://www.vyatsu.ru/studentu-1/stipendial-noe-obespechenie-i-material-naya-podder.html).
"Есть ли у ВятГУ собственный бассейн бассеин, хочу записаться","Бассейн ВятГу находится на ул. Орловская, 12 тел. 67-07-52 группа (https://vk.com/bassein_vyatsu)"
поступление,Актуальную информацию по поводу поступления можно получить на сайте ВятГУ https://new.vyatsu.ru/admission/ . P.S. там есть удобный фильтр)
как поступить,Актуальную информацию по поводу поступления можно получить на сайте ВятГУ https://new.vyatsu.ru/admission/ . P.S. там есть удобный фильтр)
как поступить без егэ,При поступлении без ЕГЭ вам потребуется стать экзамены в вузе. Более подробно на сайте ВятГУ https://new.vyatsu.ru/admission/ .
как настроить офис office 365,Вот инструкция как настроить Office 365 https://www.vyatsu.ru/uploads/file/1809/office_365_studenty.pdf 
как подключиться к Wi-Fi вайфай вифи,Инструкция как подключиться к Wi-Fi университета https://www.vyatsu.ru/uploads/file/1809/nastroi_ka_wi_fi_vyatgu.pdf
поступление в магистратуру,Актуальную информацию по поводу поступления можно получить на сайте ВятГУ https://new.vyatsu.ru/admission/ . P.S. там есть удобный фильтр)
Что такое ИГПА,Индивидуальный график погашения академической задолжности.
как настроить тимс Teams,Инструкция по настройке MS Teams https://www.vyatsu.ru/uploads/file/2004/ispolzovanie_microsoft_teams_dlya_studentov.pdf
у меня не работатет тимс ,Попробуйте зайти с другого устройства. Инструкция по настройке MS Teams https://www.vyatsu.ru/uploads/file/2004/ispolzovanie_microsoft_teams_dlya_studentov.pdf
"помещения для самостоятельной работы, колоквиум","Вот список помещений для самостоятельной работы <vyatsu, classes>"
"Как получить справку о том, что я обучаюсь в ВятГУ дистанционно?","Для этого необходимо подать заявление в отделе координации работы со студентами (5-105, 14-101, 15-206а, 8-209) или в личном кабинете в разделе Документы (https://new.vyatsu.ru/account/documents/)"
вступительные экзамены,По поводу вступительных экзаменов можно узнать на сайте https://new.vyatsu.ru/admission/admission_info/
стоимость обучения,Стоимость обучения по вашей специальности можно узнать тут https://new.vyatsu.ru/admission/admission_paid/ 
Какие проходные баллы,Проходные баллы по каждой из специальностей можно найти тут https://new.vyatsu.ru/admission/admission_result/
как проходит сессия,"Во время сессии студентам нужно сдать экзамены и зачеты, согластно учебному плану. Также при наличии, защитить курсовой проект. "
куда подавать доки на мат помощь,Документы на мат. помощь подаются согласно положению о стипендиальном обеспечении. Актуальную информацию можно найти на сайте университета(https://www.vyatsu.ru/studentu-1/stipendial-noe-obespechenie-i-material-naya-podder.html)  или в группе ( https://vk.com/vyatsu)
почему все так плохо,"Все не так и плохо). Если есть проблема, я готов выслушать, но я всего лишь робот и ничего не пойму"
студклуб,Актуальную информацию можно найти в группе студклуба (https://vk.com/studclub_vgu)
как подать заявление ,Заявление можно подать в свой деканат или на сайте ВятГу (https://new.vyatsu.ru/account/documents/files/)
когда был основан университет ВятГу,В 1963
не хочу учиться,Думаю стоит еще раз все взвесить
сколько длиться пара,90 минут
когда начинается обеденный перерыв,В 13:15
приемная комиссия,Актуальную информацию по работе приемной комиссии можно найи на сайте ВятГУ. https://new.vyatsu.ru/admission/
Подготовка к поступлению,Информацию о подготовке к поступлению уточнить на сайте. https://new.vyatsu.ru/admission/prep_admission/
когда начинаются каникулы,
когда начинается сессия,
где находится главный корпус,
военкомат отдел воинского учета,
профилакторий вятгу,
что такое студгородок,
где находится студгородок,
какие занятия сегодня,
пары сегодня,
расписание звонков,
Кто гений самый крутой,Ходят слухи что это Ваван. Можешь загуглить SFFMedia
